industry,application,product_type_code,fit_score,rationale
Aerospace / defense,Drone / UAV actuator,w_series,5,"W8 micro gearbox series is explicitly designed for drones and humanoid robot joints, with frame sizes as small as 08 mm, high torque-to-weight, and low noise."
Aerospace ground support,Antenna positioner,kgr_series,4,"KGR series with ≤4 arcmin backlash, IP65, and corrosion-resistant aluminum housing suits outdoor antenna positioning requiring smooth low-speed control."
Aerospace ground support,Antenna positioner,kr_hypoid_series,4,K-R series hypoid gearbox with ≤5 arcmin backlash and compact right-angle design fits antenna positioner envelope constraints.
Aerospace ground support,Antenna positioner,8_11_series_harmonic,4,Harmonic drive's near-zero backlash and smooth velocity output at low speeds are ideal for precision antenna pointing.
Assembly,Torque-controlled tightening / bolting,pl_tightening_machine,5,"PL series tightening machine is purpose-built for bolting with wear-resistant planetary trains, multi-directional load bearings, and optional built-in torque/displacement sensors."
Assembly,Torque-controlled tightening / bolting,tkz_series,5,"TKZ series tightening gearbox is explicitly designed for precision fastening with customized gear profiles, impact-resistant bearings, and optional torque sensors."
Assembly,Torque-controlled tightening / bolting,tl_series,5,"TL offset-type tightening machine gearbox with profile-modified gears, multi-directional load bearings, and optional torque/displacement sensors is purpose-built for assembly bolting."
Energy,Manual backup drive for remote equipment,kpx_s_series,5,"KPX-S series hand-input planetary reducer is explicitly designed for manual backup operation when electric power is unavailable, with up to 97% efficiency and low backlash."
Energy,Manual backup drive for remote equipment,kpx_sy_series,5,"KPX-SY series hand-input gearbox is explicitly designed for applications where electric power is unavailable, offering a reliable mechanical backup in remote areas."
Industrial automation,Multi-axis servo system,rd_series,5,"RD series multi-axis integrated servo drive supports 2–6 axes in one housing with 30% space reduction, vibration suppression, and auto-tuning — purpose-built for coordinated multi-axis systems."
Industrial automation,Multi-axis servo system,xam_series,5,XAM series servo motors with 5-pole-pair low-cogging design and 23-bit absolute encoder pair perfectly with RD series drives for high-performance multi-axis servo systems.
Logistics,Steering & differential drive for AGV,agv_steering_differential_wheel,5,"AGV steering & differential wheel with planetary gear inside the hub, 48V DC servo, encoders, and electronic/mechanical limit switches is purpose-built for AGV steering drive."
Logistics,Steering & differential drive for AGV,agv_drive_wheel_kfq150,4,"KFQ150 integrated drive wheel can serve as a drive component in a differential steering AGV, though it lacks the dedicated steering unit of the steering wheel."
Machine tool,Rotary axis (B/C),caesarplanetary,5,"CaesarPlanetary HP variant with low backlash and HT variant with high torque, sharing common mounting, directly addresses precision rotary axis needs with upgrade path."
Machine tool,Rotary axis (B/C),8_11_series_harmonic,4,"Harmonic drives offer near-zero backlash (<1 arcmin) and high torsional stiffness suitable for CNC rotary axes, though limited torque capacity vs. large-frame planetaries."
